
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


18/11/2021 20:59:01 CHANNEL has been initialised

18/11/2021 20:59:01 SENDER-3 starts sending data to RECEIVER3
18/11/2021 20:59:01 SENDER-4 starts sending data to RECEIVER4
18/11/2021 20:59:15 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:15 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:15 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:16 SENDER-2    ||  PACKET 5 SENT TO CHANNEL
18/11/2021 20:59:16 SENDER-1    ||  PACKET 5 SENT TO CHANNEL
18/11/2021 20:59:16 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:16 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:17 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:17 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:17 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:17 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:17 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:17 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:17 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:17 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:18 SENDER-1    ||  PACKET 6 SENT TO CHANNEL
18/11/2021 20:59:18 SENDER-4    ||  COLLISION
18/11/2021 20:59:18 SENDER-3    ||  PACKET 5 SENT TO CHANNEL
18/11/2021 20:59:18 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:19 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:19 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:19 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:19 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:19 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:19 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:19 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:20 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:20 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:20 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:20 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:20 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:20 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:20 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:20 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:20 SENDER-2    ||  PACKET 7 SENT TO CHANNEL
18/11/2021 20:59:21 SENDER-4    ||  PACKET 5 SENT TO CHANNEL
18/11/2021 20:59:21 SENDER-3    ||  COLLISION
18/11/2021 20:59:21 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:21 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:21 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:22 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:22 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:22 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:22 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:22 SENDER-1    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:22 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:22 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:22 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:23 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:23 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:23 SENDER-3    ||  FOUND CHANNEL BUSY

